Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'2748441421';'96MBD070550';28/01/2025 21:09:18;28/01/2025 21:09:01;"000000000005,00";"000000000005,00";"000000000000,00";;
'2746886465';'96MBD070550';27/01/2025 22:52:28;27/01/2025 22:52:16;"000000000000,00";"000000000000,00";"000000000000,00";;
'2745006435';'96MBD070550';26/01/2025 21:29:33;26/01/2025 21:29:28;"000000000000,00";"000000000000,00";"000000000000,00";;
'2744296238';'96MBD070550';25/01/2025 22:04:37;25/01/2025 22:04:37;"000000000016,00";"000000000016,00";"000000000000,00";;
'2742914272';'96MBD070550';24/01/2025 21:56:22;24/01/2025 21:56:28;"000000000000,00";"000000000000,00";"000000000000,00";;
'2741252026';'96MBD070550';23/01/2025 20:44:25;23/01/2025 20:44:36;"000000000001,20";"000000000001,20";"000000000000,00";;
'2739821847';'96MBD070550';22/01/2025 22:30:21;22/01/2025 22:30:37;"000000000000,00";"000000000000,00";"000000000000,00";;
'2738145209';'96MBD070550';21/01/2025 20:51:56;21/01/2025 20:52:18;"000000000000,00";"000000000000,00";"000000000000,00";;
'2736502153';'96MBD070550';20/01/2025 20:58:31;20/01/2025 20:58:59;"000000000000,40";"000000000000,40";"000000000000,00";;
'2734847906';'96MBD070550';19/01/2025 23:20:25;19/01/2025 23:20:57;"000000000020,00";"000000000020,00";"000000000000,00";;
'2733949614';'96MBD070550';18/01/2025 20:56:04;18/01/2025 20:56:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'2732699029';'96MBD070550';17/01/2025 22:36:50;17/01/2025 22:36:29;"000000000000,00";"000000000000,00";"000000000000,00";;
'2731077511';'96MBD070550';16/01/2025 21:06:17;16/01/2025 21:06:03;"000000000000,00";"000000000000,00";"000000000000,00";;
'2729640970';'96MBD070550';15/01/2025 22:31:19;15/01/2025 22:31:10;"000000000000,00";"000000000000,00";"000000000000,00";;
'2727977906';'96MBD070550';14/01/2025 20:50:36;14/01/2025 20:50:33;"000000000000,00";"000000000000,00";"000000000000,00";;
'2726450615';'96MBD070550';13/01/2025 22:27:18;13/01/2025 22:27:20;"000000000000,00";"000000000000,00";"000000000000,00";;
'2724578424';'96MBD070550';12/01/2025 21:01:19;12/01/2025 21:01:26;"000000000000,00";"000000000000,00";"000000000000,00";;
'2723853761';'96MBD070550';11/01/2025 21:13:25;11/01/2025 21:13:38;"000000000000,00";"000000000000,00";"000000000000,00";;
'2722461210';'96MBD070550';10/01/2025 21:00:33;10/01/2025 21:01:04;"000000000001,00";"000000000001,00";"000000000000,00";;
'2720915722';'96MBD070550';09/01/2025 21:01:27;09/01/2025 21:02:22;"000000000005,80";"000000000005,80";"000000000000,00";;
'2719484745';'96MBD070550';08/01/2025 22:28:56;08/01/2025 22:28:46;"000000000005,00";"000000000005,00";"000000000000,00";;
'2717834975';'96MBD070550';07/01/2025 20:59:39;07/01/2025 20:59:35;"000000000000,00";"000000000000,00";"000000000000,00";;
'2715849169';'96MBD070550';06/01/2025 21:15:44;06/01/2025 21:15:45;"000000000000,00";"000000000000,00";"000000000000,00";;
'2714971390';'96MBD070550';05/01/2025 20:26:06;05/01/2025 20:26:13;"000000000000,00";"000000000000,00";"000000000000,00";;
'2714171813';'96MBD070550';04/01/2025 20:44:01;04/01/2025 20:44:13;"000000000000,00";"000000000000,00";"000000000000,00";;
'2712832265';'96MBD070550';03/01/2025 21:08:50;03/01/2025 21:10:04;"000000000000,00";"000000000000,00";"000000000000,00";;
'2711369260';'96MBD070550';02/01/2025 22:15:18;02/01/2025 22:15:03;"000000000000,00";"000000000000,00";"000000000000,00";;
'2709372033';'96MBD070550';01/01/2025 21:02:37;01/01/2025 21:02:25;"000000000000,00";"000000000000,00";"000000000000,00";;
